a0	0		Aa a a'a a a a, a a a a a a a.N
a0	0		Aa a a a a A'a a a.N
a0	0		Aa a a a a A'a a a.N
a0	0		Aa a a a a, a a a a.N
a0	0		Aa a a a a a a a.N
a0	0		A'a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a a a a.N
a0	0		Aa'a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a a a a.N
a0	0		Aa a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a.N
a0	0		Aa a a a a.N
a0	0	*	Aa a a a.N
a0	0		Aa a a a a a a.N
a0	0	*	Aa a a a.N
a0	0		Aa a a a.N
a0	0	*	Aa a a.N
a0	0	*	Aa a Aa a.N
a0	0		Aa a a a a a.N
a0	0	*	Aa a a.N
a0	0	*	Aa a a a a a.N
a0	0		Aa a a a a a a.N
a0	0		Aa a Aa 0 a A a A.N
a0	0		Aa a a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a.N
a0	0		Aa a a a.N
a0	0	*	Aa a a a a a a a a.N
a0	0	*	Aa a a a a a a a a.N
a0	0	*	Aa a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a a a.N
a0	0	*	Aa a a a a a.N
a0	0	*	Aa a a a a a a.N
a0	0		Aa a a a a a a a a.N
a0	0		Aa a a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a.N
a0	0	*	Aa a a a a a a a.N
a0	0		Aa a a a a a a a a.N
a0	0		Aa a a a a a.N
a0	0	*	Aa a a a a a.N
a0	0		Aa a a a a a a a a.N
a0	0		Aa a a a a a a a a.N
a0	0		Aa a a a a a.N
a0	0	*	Aa a a a a a.N
a0	0	*	Aa a a a a a.N
a0	0	*	Aa a a a a a.N
a0	0		Aa a a a a.N
a0	0	*?	Aa a a a a a a.N
a0	0	*?	Aa a Aa a a a a a.N
a0	0		Aa a a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a Aa a a a a a.N
a0	0		Aa a Aa a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a a a.N
a0	0		Aa a a a a a a a a.N
a0	0		Aa a a a.N
a0	0		Aa a a a a a a.N
a0	0		Aa a a a a.N
a0	0	*	Aa a Aa a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a a a.N
a0	0		Aa a Aa a a.N
a0	0	*	Aa a a a a a a.N
a0	0		Aa a a a, a a a a a.N
a0	0	*	Aa a a.N
a0	0	*	Aa a a a.N
a0	0		Aa a a a a.N
a0	0		Aa a a a a a a a, a Aa.N
a0	0		Aa a a, a a a a a a a a.N
a0	0		Aa a a a a a a a a a a a a Aa a a a.N
a0	0		Aa a a a.N
a0	0		Aa a a a a a a a a a a.N
a0	0		Aa a a a a a.N
a0	0		Aa a a a a a.N
a0	0	*	Aa a a a a.N
a0	0		Aa a a a.N
a0	0		Aa a a a a.N
