0	Aa a a a a a a a a Aa a a.	0N
0	A a a a a a a a a a, a a a a a a A a a a. Aa a'a a a a a a a a a. Aa, A a'a a a a a a a a a a a a, a a a a a.	0N
0	A a a a a a a a a a A, a a a a, a a a a a a a a a a a a a a a a, a Aa a a a a a, a a a a a a a a A, a a a a a a a a a a a a a a.  	0N
0	Aa a a a.	0N
0	Aa a a.	0N
0	Aa a a a a Aa! Aa a a a a a a a a a Aa Aa a, a a a a a a a a.	0N
0	Aa a a a a a a a a a a a a.  Aa a a a a a a a a a  :)  Aa a a a a a a a a a a a a a a a a a a a a a a a-a a.	0N
0	Aa a a a a, a a a A a! Aa a a a. Aa!	0N
0	Aa a a.	0N
0	Aa a a a a a a a a Aa a a a a a a a a a. Aa a a a a a a a Aa a a a a a a a a. Aa a a a a a a A a a a a a a Aa a Aa a a a.	0N
0	Aa, a a a a a a, a a a a a a a a.  	0N
0	a a a a a, a a a a 0 a a.  a a a a a a a a a + a A a a.  a a a a a a a a a a a a a.	0N
0	Aa a a a. Aa a a a a a a. A a a a a a a a a a a a a, a a a a a a a a.	0N
0	Aa a a a a a a a a A a a a a a a a a.	0N
0	Aa a a a Aa. Aa a a a a a a a a a a a a a a Aa Aa a a a Aa.	0N
0	Aa a, a a a a a a A!	0N
0	A a'a a a a a a a a a a a, a A a a! A a a a a a a a a a a a a a a a a a a a a a a. A a a a a a a a a, a a a a a a a a.... a a a a a a a. Aa a a a a a a a a!A a a a a a a a a a a a a a a a a a a a a, a a a a a a'a a a a a a a a a a a. A a a Aa a a a a a a a a a A a a a a a a a a a a a.... a a a a a'a a a!A a a a a a a a a a. A a a'a a a a a a a a a a a Aa Aa a a a a, a a A a a a a a'a a a a a a a a, a A a, a a'a a a a!Aa a a a a a a a a a a a a a a a a a a a a a a a a a a a, a a a a a a a a a a a a a a A a a a a a. Aa a a a a a a a a a a. Aa a a a a.A a a a a a a a a A a a a a a Aa Aa!	0N
0	Aa a a a a, Aa a a a a a a a a a a a.	0N
0	Aa a a a a a Aa a a Aa, a a, a a.	0N
0	Aa a 0 a.	0N
0	A'a a a a a a a a.	0N
0	Aa a a a a a!  	0N
0	!A a a!!	0N
0	Aa, a.  	0N
0	Aa, a'a a a a a a Aa Aa a Aa Aa.  	0N
0	Aa'a a a a a a a a a a 0, a Aa a a a a a a a a a a a a a a a a.  	0N
0	Aa a a a a a a a'a a a a a a a a.  	0N
0		0N
0	A a a a a a a. Aa a a a a a.  A'a a a a A a a a a. A a a a a a a.	0N
